Variety,Harvest,Block,Yield
1,1,1,2.69
2,1,1,2.87
3,1,1,3.12
4,1,1,3.23
1,2,1,2.74
2,2,1,2.5
3,2,1,2.92
4,2,1,3.5
1,3,1,1.67
2,3,1,1.47
3,3,1,1.67
4,3,1,2.6
1,4,1,1.92
2,4,1,2
3,4,1,2.03
4,4,1,2.07
1,1,2,2.4
2,1,2,3.05
3,1,2,3.27
4,1,2,3.23
1,2,2,1.91
2,2,2,2.9
3,2,2,2.63
4,2,2,2.89
1,3,2,1.22
2,3,2,1.85
3,3,2,1.42
4,3,2,1.92
1,4,2,1.45
2,4,2,2.03
3,4,2,1.96
4,4,2,1.89
1,1,3,3.23
2,1,3,3.09
3,1,3,3.41
4,1,3,3.16
1,2,3,3.47
2,2,3,3.23
3,2,3,3.67
4,2,3,3.39
1,3,3,2.29
2,3,3,2.03
3,3,3,2.81
4,3,3,2.36
1,4,3,1.63
2,4,3,1.71
3,4,3,1.85
4,4,3,1.92
1,1,4,2.87
2,1,4,2.9
3,1,4,3.48
4,1,4,3.01
1,2,4,2.87
2,2,4,2.98
3,2,4,2.9
4,2,4,2.9
1,3,4,2.18
2,3,4,1.82
3,3,4,1.51
4,3,4,1.92
1,4,4,1.6
2,4,4,1.6
3,4,4,1.82
4,4,4,1.82
1,1,5,3.27
2,1,5,2.98
3,1,5,3.19
4,1,5,3.05
1,2,5,3.43
2,2,5,3.05
3,2,5,3.25
4,2,5,3.16
1,3,5,2.3
2,3,5,1.51
3,3,5,1.76
4,3,5,2.14
1,4,5,1.96
2,4,5,1.96
3,4,5,2.4
4,4,5,1.78
